Sample in Buffer,Sample in Window,TRIGGER,responses[127:0],done_sig,count_a[31:0],count_b[31:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX
0,0,1,e42e76a2f9585ebf69c0af6e625e0c40,1,0001fb78,000064a3
1,1,0,e42e76a2f9585ebf69c0af6e625e0c40,1,0001fb78,000064a3
2,2,0,e42e76a2f9585ebf69c0af6e625e0c40,1,0001fb78,000064a3
3,3,0,e42e76a2f9585ebf69c0af6e625e0c40,1,0001fb78,000064a3
4,4,0,e42e76a2f9585ebf69c0af6e625e0c40,1,0001fb78,000064a3
5,5,0,e42e76a2f9585ebf69c0af6e625e0c40,1,0001fb78,000064a3
6,6,0,e42e76a2f9585ebf69c0af6e625e0c40,1,0001fb78,000064a3
7,7,0,e42e76a2f9585ebf69c0af6e625e0c40,1,0001fb78,000064a3
8,8,0,e42e76a2f9585ebf69c0af6e625e0c40,1,0001fb78,000064a3
9,9,0,e42e76a2f9585ebf69c0af6e625e0c40,1,0001fb78,000064a3
10,10,0,e42e76a2f9585ebf69c0af6e625e0c40,1,0001fb78,000064a3
11,11,0,e42e76a2f9585ebf69c0af6e625e0c40,1,0001fb78,000064a3
12,12,0,e42e76a2f9585ebf69c0af6e625e0c40,1,0001fb78,000064a3
13,13,0,e42e76a2f9585ebf69c0af6e625e0c40,1,0001fb78,000064a3
14,14,0,e42e76a2f9585ebf69c0af6e625e0c40,1,0001fb78,000064a3
15,15,0,e42e76a2f9585ebf69c0af6e625e0c40,1,0001fb78,000064a3
16,16,0,e42e76a2f9585ebf69c0af6e625e0c40,1,0001fb78,000064a3
17,17,0,e42e76a2f9585ebf69c0af6e625e0c40,1,0001fb78,000064a3
18,18,0,e42e76a2f9585ebf69c0af6e625e0c40,1,0001fb78,000064a3
19,19,0,e42e76a2f9585ebf69c0af6e625e0c40,1,0001fb78,000064a3
20,20,0,e42e76a2f9585ebf69c0af6e625e0c40,1,0001fb78,000064a3
21,21,0,e42e76a2f9585ebf69c0af6e625e0c40,1,0001fb78,000064a3
22,22,0,e42e76a2f9585ebf69c0af6e625e0c40,1,0001fb78,000064a3
23,23,0,e42e76a2f9585ebf69c0af6e625e0c40,1,0001fb78,000064a3
24,24,0,e42e76a2f9585ebf69c0af6e625e0c40,1,0001fb78,000064a3
25,25,0,e42e76a2f9585ebf69c0af6e625e0c40,1,0001fb78,000064a3
26,26,0,e42e76a2f9585ebf69c0af6e625e0c40,1,0001fb78,000064a3
27,27,0,e42e76a2f9585ebf69c0af6e625e0c40,1,0001fb78,000064a3
28,28,0,e42e76a2f9585ebf69c0af6e625e0c40,1,0001fb78,000064a3
29,29,0,e42e76a2f9585ebf69c0af6e625e0c40,1,0001fb78,000064a3
30,30,0,e42e76a2f9585ebf69c0af6e625e0c40,1,0001fb78,000064a3
31,31,0,e42e76a2f9585ebf69c0af6e625e0c40,1,0001fb78,000064a3
32,32,0,e42e76a2f9585ebf69c0af6e625e0c40,1,0001fb78,000064a3
33,33,0,e42e76a2f9585ebf69c0af6e625e0c40,1,0001fb78,000064a3
34,34,0,e42e76a2f9585ebf69c0af6e625e0c40,1,0001fb78,000064a3
35,35,0,e42e76a2f9585ebf69c0af6e625e0c40,1,0001fb78,000064a3
36,36,0,e42e76a2f9585ebf69c0af6e625e0c40,1,0001fb78,000064a3
37,37,0,e42e76a2f9585ebf69c0af6e625e0c40,1,0001fb78,000064a3
38,38,0,e42e76a2f9585ebf69c0af6e625e0c40,1,0001fb78,000064a3
39,39,0,e42e76a2f9585ebf69c0af6e625e0c40,1,0001fb78,000064a3
40,40,0,e42e76a2f9585ebf69c0af6e625e0c40,1,0001fb78,000064a3
41,41,0,e42e76a2f9585ebf69c0af6e625e0c40,1,0001fb78,000064a3
42,42,0,e42e76a2f9585ebf69c0af6e625e0c40,1,0001fb78,000064a3
43,43,0,e42e76a2f9585ebf69c0af6e625e0c40,1,0001fb78,000064a3
44,44,0,e42e76a2f9585ebf69c0af6e625e0c40,1,0001fb78,000064a3
45,45,0,e42e76a2f9585ebf69c0af6e625e0c40,1,0001fb78,000064a3
46,46,0,e42e76a2f9585ebf69c0af6e625e0c40,1,0001fb78,000064a3
47,47,0,e42e76a2f9585ebf69c0af6e625e0c40,1,0001fb78,000064a3
48,48,0,e42e76a2f9585ebf69c0af6e625e0c40,1,0001fb78,000064a3
49,49,0,e42e76a2f9585ebf69c0af6e625e0c40,1,0001fb78,000064a3
50,50,0,e42e76a2f9585ebf69c0af6e625e0c40,1,0001fb78,000064a3
51,51,0,e42e76a2f9585ebf69c0af6e625e0c40,1,0001fb78,000064a3
52,52,0,e42e76a2f9585ebf69c0af6e625e0c40,1,0001fb78,000064a3
53,53,0,e42e76a2f9585ebf69c0af6e625e0c40,1,0001fb78,000064a3
54,54,0,e42e76a2f9585ebf69c0af6e625e0c40,1,0001fb78,000064a3
55,55,0,e42e76a2f9585ebf69c0af6e625e0c40,1,0001fb78,000064a3
56,56,0,e42e76a2f9585ebf69c0af6e625e0c40,1,0001fb78,000064a3
57,57,0,e42e76a2f9585ebf69c0af6e625e0c40,1,0001fb78,000064a3
58,58,0,e42e76a2f9585ebf69c0af6e625e0c40,1,0001fb78,000064a3
59,59,0,e42e76a2f9585ebf69c0af6e625e0c40,1,0001fb78,000064a3
60,60,0,e42e76a2f9585ebf69c0af6e625e0c40,1,0001fb78,000064a3
61,61,0,e42e76a2f9585ebf69c0af6e625e0c40,1,0001fb78,000064a3
62,62,0,e42e76a2f9585ebf69c0af6e625e0c40,1,0001fb78,000064a3
63,63,0,e42e76a2f9585ebf69c0af6e625e0c40,1,0001fb78,000064a3
64,64,0,e42e76a2f9585ebf69c0af6e625e0c40,1,0001fb78,000064a3
65,65,0,e42e76a2f9585ebf69c0af6e625e0c40,1,0001fb78,000064a3
66,66,0,e42e76a2f9585ebf69c0af6e625e0c40,1,0001fb78,000064a3
67,67,0,e42e76a2f9585ebf69c0af6e625e0c40,1,0001fb78,000064a3
68,68,0,e42e76a2f9585ebf69c0af6e625e0c40,1,0001fb78,000064a3
69,69,0,e42e76a2f9585ebf69c0af6e625e0c40,1,0001fb78,000064a3
70,70,0,e42e76a2f9585ebf69c0af6e625e0c40,1,0001fb78,000064a3
71,71,0,e42e76a2f9585ebf69c0af6e625e0c40,1,0001fb78,000064a3
72,72,0,e42e76a2f9585ebf69c0af6e625e0c40,1,0001fb78,000064a3
73,73,0,e42e76a2f9585ebf69c0af6e625e0c40,1,0001fb78,000064a3
74,74,0,e42e76a2f9585ebf69c0af6e625e0c40,1,0001fb78,000064a3
75,75,0,e42e76a2f9585ebf69c0af6e625e0c40,1,0001fb78,000064a3
76,76,0,e42e76a2f9585ebf69c0af6e625e0c40,1,0001fb78,000064a3
77,77,0,e42e76a2f9585ebf69c0af6e625e0c40,1,0001fb78,000064a3
78,78,0,e42e76a2f9585ebf69c0af6e625e0c40,1,0001fb78,000064a3
79,79,0,e42e76a2f9585ebf69c0af6e625e0c40,1,0001fb78,000064a3
80,80,0,e42e76a2f9585ebf69c0af6e625e0c40,1,0001fb78,000064a3
81,81,0,e42e76a2f9585ebf69c0af6e625e0c40,1,0001fb78,000064a3
82,82,0,e42e76a2f9585ebf69c0af6e625e0c40,1,0001fb78,000064a3
83,83,0,e42e76a2f9585ebf69c0af6e625e0c40,1,0001fb78,000064a3
84,84,0,e42e76a2f9585ebf69c0af6e625e0c40,1,0001fb78,000064a3
85,85,0,e42e76a2f9585ebf69c0af6e625e0c40,1,0001fb78,000064a3
86,86,0,e42e76a2f9585ebf69c0af6e625e0c40,1,0001fb78,000064a3
87,87,0,e42e76a2f9585ebf69c0af6e625e0c40,1,0001fb78,000064a3
88,88,0,e42e76a2f9585ebf69c0af6e625e0c40,1,0001fb78,000064a3
89,89,0,e42e76a2f9585ebf69c0af6e625e0c40,1,0001fb78,000064a3
90,90,0,e42e76a2f9585ebf69c0af6e625e0c40,1,0001fb78,000064a3
91,91,0,e42e76a2f9585ebf69c0af6e625e0c40,1,0001fb78,000064a3
92,92,0,e42e76a2f9585ebf69c0af6e625e0c40,1,0001fb78,000064a3
93,93,0,e42e76a2f9585ebf69c0af6e625e0c40,1,0001fb78,000064a3
94,94,0,e42e76a2f9585ebf69c0af6e625e0c40,1,0001fb78,000064a3
95,95,0,e42e76a2f9585ebf69c0af6e625e0c40,1,0001fb78,000064a3
96,96,0,e42e76a2f9585ebf69c0af6e625e0c40,1,0001fb78,000064a3
97,97,0,e42e76a2f9585ebf69c0af6e625e0c40,1,0001fb78,000064a3
98,98,0,e42e76a2f9585ebf69c0af6e625e0c40,1,0001fb78,000064a3
99,99,0,e42e76a2f9585ebf69c0af6e625e0c40,1,0001fb78,000064a3
100,100,0,e42e76a2f9585ebf69c0af6e625e0c40,1,0001fb78,000064a3
101,101,0,e42e76a2f9585ebf69c0af6e625e0c40,1,0001fb78,000064a3
102,102,0,e42e76a2f9585ebf69c0af6e625e0c40,1,0001fb78,000064a3
103,103,0,e42e76a2f9585ebf69c0af6e625e0c40,1,0001fb78,000064a3
104,104,0,e42e76a2f9585ebf69c0af6e625e0c40,1,0001fb78,000064a3
105,105,0,e42e76a2f9585ebf69c0af6e625e0c40,1,0001fb78,000064a3
106,106,0,e42e76a2f9585ebf69c0af6e625e0c40,1,0001fb78,000064a3
107,107,0,e42e76a2f9585ebf69c0af6e625e0c40,1,0001fb78,000064a3
