Sample in Buffer,Sample in Window,TRIGGER,responses[127:0],done_sig,count_a[31:0],count_b[31:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX
0,0,1,0ff9a0bbd98ac940b474f0f067d5655f,1,0004ce42,00068d98
1,1,0,0ff9a0bbd98ac940b474f0f067d5655f,1,0004ce42,00068d98
2,2,0,0ff9a0bbd98ac940b474f0f067d5655f,1,0004ce42,00068d98
3,3,0,0ff9a0bbd98ac940b474f0f067d5655f,1,0004ce42,00068d98
4,4,0,0ff9a0bbd98ac940b474f0f067d5655f,1,0004ce42,00068d98
5,5,0,0ff9a0bbd98ac940b474f0f067d5655f,1,0004ce42,00068d98
6,6,0,0ff9a0bbd98ac940b474f0f067d5655f,1,0004ce42,00068d98
7,7,0,0ff9a0bbd98ac940b474f0f067d5655f,1,0004ce42,00068d98
8,8,0,0ff9a0bbd98ac940b474f0f067d5655f,1,0004ce42,00068d98
9,9,0,0ff9a0bbd98ac940b474f0f067d5655f,1,0004ce42,00068d98
10,10,0,0ff9a0bbd98ac940b474f0f067d5655f,1,0004ce42,00068d98
11,11,0,0ff9a0bbd98ac940b474f0f067d5655f,1,0004ce42,00068d98
12,12,0,0ff9a0bbd98ac940b474f0f067d5655f,1,0004ce42,00068d98
13,13,0,0ff9a0bbd98ac940b474f0f067d5655f,1,0004ce42,00068d98
14,14,0,0ff9a0bbd98ac940b474f0f067d5655f,1,0004ce42,00068d98
15,15,0,0ff9a0bbd98ac940b474f0f067d5655f,1,0004ce42,00068d98
16,16,0,0ff9a0bbd98ac940b474f0f067d5655f,1,0004ce42,00068d98
17,17,0,0ff9a0bbd98ac940b474f0f067d5655f,1,0004ce42,00068d98
18,18,0,0ff9a0bbd98ac940b474f0f067d5655f,1,0004ce42,00068d98
19,19,0,0ff9a0bbd98ac940b474f0f067d5655f,1,0004ce42,00068d98
20,20,0,0ff9a0bbd98ac940b474f0f067d5655f,1,0004ce42,00068d98
21,21,0,0ff9a0bbd98ac940b474f0f067d5655f,1,0004ce42,00068d98
22,22,0,0ff9a0bbd98ac940b474f0f067d5655f,1,0004ce42,00068d98
23,23,0,0ff9a0bbd98ac940b474f0f067d5655f,1,0004ce42,00068d98
24,24,0,0ff9a0bbd98ac940b474f0f067d5655f,1,0004ce42,00068d98
25,25,0,0ff9a0bbd98ac940b474f0f067d5655f,1,0004ce42,00068d98
26,26,0,0ff9a0bbd98ac940b474f0f067d5655f,1,0004ce42,00068d98
27,27,0,0ff9a0bbd98ac940b474f0f067d5655f,1,0004ce42,00068d98
28,28,0,0ff9a0bbd98ac940b474f0f067d5655f,1,0004ce42,00068d98
29,29,0,0ff9a0bbd98ac940b474f0f067d5655f,1,0004ce42,00068d98
30,30,0,0ff9a0bbd98ac940b474f0f067d5655f,1,0004ce42,00068d98
31,31,0,0ff9a0bbd98ac940b474f0f067d5655f,1,0004ce42,00068d98
32,32,0,0ff9a0bbd98ac940b474f0f067d5655f,1,0004ce42,00068d98
33,33,0,0ff9a0bbd98ac940b474f0f067d5655f,1,0004ce42,00068d98
34,34,0,0ff9a0bbd98ac940b474f0f067d5655f,1,0004ce42,00068d98
35,35,0,0ff9a0bbd98ac940b474f0f067d5655f,1,0004ce42,00068d98
36,36,0,0ff9a0bbd98ac940b474f0f067d5655f,1,0004ce42,00068d98
37,37,0,0ff9a0bbd98ac940b474f0f067d5655f,1,0004ce42,00068d98
38,38,0,0ff9a0bbd98ac940b474f0f067d5655f,1,0004ce42,00068d98
39,39,0,0ff9a0bbd98ac940b474f0f067d5655f,1,0004ce42,00068d98
40,40,0,0ff9a0bbd98ac940b474f0f067d5655f,1,0004ce42,00068d98
41,41,0,0ff9a0bbd98ac940b474f0f067d5655f,1,0004ce42,00068d98
42,42,0,0ff9a0bbd98ac940b474f0f067d5655f,1,0004ce42,00068d98
43,43,0,0ff9a0bbd98ac940b474f0f067d5655f,1,0004ce42,00068d98
44,44,0,0ff9a0bbd98ac940b474f0f067d5655f,1,0004ce42,00068d98
45,45,0,0ff9a0bbd98ac940b474f0f067d5655f,1,0004ce42,00068d98
46,46,0,0ff9a0bbd98ac940b474f0f067d5655f,1,0004ce42,00068d98
47,47,0,0ff9a0bbd98ac940b474f0f067d5655f,1,0004ce42,00068d98
48,48,0,0ff9a0bbd98ac940b474f0f067d5655f,1,0004ce42,00068d98
49,49,0,0ff9a0bbd98ac940b474f0f067d5655f,1,0004ce42,00068d98
50,50,0,0ff9a0bbd98ac940b474f0f067d5655f,1,0004ce42,00068d98
51,51,0,0ff9a0bbd98ac940b474f0f067d5655f,1,0004ce42,00068d98
52,52,0,0ff9a0bbd98ac940b474f0f067d5655f,1,0004ce42,00068d98
53,53,0,0ff9a0bbd98ac940b474f0f067d5655f,1,0004ce42,00068d98
54,54,0,0ff9a0bbd98ac940b474f0f067d5655f,1,0004ce42,00068d98
55,55,0,0ff9a0bbd98ac940b474f0f067d5655f,1,0004ce42,00068d98
56,56,0,0ff9a0bbd98ac940b474f0f067d5655f,1,0004ce42,00068d98
57,57,0,0ff9a0bbd98ac940b474f0f067d5655f,1,0004ce42,00068d98
58,58,0,0ff9a0bbd98ac940b474f0f067d5655f,1,0004ce42,00068d98
59,59,0,0ff9a0bbd98ac940b474f0f067d5655f,1,0004ce42,00068d98
60,60,0,0ff9a0bbd98ac940b474f0f067d5655f,1,0004ce42,00068d98
61,61,0,0ff9a0bbd98ac940b474f0f067d5655f,1,0004ce42,00068d98
62,62,0,0ff9a0bbd98ac940b474f0f067d5655f,1,0004ce42,00068d98
63,63,0,0ff9a0bbd98ac940b474f0f067d5655f,1,0004ce42,00068d98
64,64,0,0ff9a0bbd98ac940b474f0f067d5655f,1,0004ce42,00068d98
65,65,0,0ff9a0bbd98ac940b474f0f067d5655f,1,0004ce42,00068d98
66,66,0,0ff9a0bbd98ac940b474f0f067d5655f,1,0004ce42,00068d98
67,67,0,0ff9a0bbd98ac940b474f0f067d5655f,1,0004ce42,00068d98
68,68,0,0ff9a0bbd98ac940b474f0f067d5655f,1,0004ce42,00068d98
69,69,0,0ff9a0bbd98ac940b474f0f067d5655f,1,0004ce42,00068d98
70,70,0,0ff9a0bbd98ac940b474f0f067d5655f,1,0004ce42,00068d98
71,71,0,0ff9a0bbd98ac940b474f0f067d5655f,1,0004ce42,00068d98
72,72,0,0ff9a0bbd98ac940b474f0f067d5655f,1,0004ce42,00068d98
73,73,0,0ff9a0bbd98ac940b474f0f067d5655f,1,0004ce42,00068d98
74,74,0,0ff9a0bbd98ac940b474f0f067d5655f,1,0004ce42,00068d98
75,75,0,0ff9a0bbd98ac940b474f0f067d5655f,1,0004ce42,00068d98
76,76,0,0ff9a0bbd98ac940b474f0f067d5655f,1,0004ce42,00068d98
77,77,0,0ff9a0bbd98ac940b474f0f067d5655f,1,0004ce42,00068d98
78,78,0,0ff9a0bbd98ac940b474f0f067d5655f,1,0004ce42,00068d98
79,79,0,0ff9a0bbd98ac940b474f0f067d5655f,1,0004ce42,00068d98
80,80,0,0ff9a0bbd98ac940b474f0f067d5655f,1,0004ce42,00068d98
81,81,0,0ff9a0bbd98ac940b474f0f067d5655f,1,0004ce42,00068d98
82,82,0,0ff9a0bbd98ac940b474f0f067d5655f,1,0004ce42,00068d98
83,83,0,0ff9a0bbd98ac940b474f0f067d5655f,1,0004ce42,00068d98
84,84,0,0ff9a0bbd98ac940b474f0f067d5655f,1,0004ce42,00068d98
85,85,0,0ff9a0bbd98ac940b474f0f067d5655f,1,0004ce42,00068d98
86,86,0,0ff9a0bbd98ac940b474f0f067d5655f,1,0004ce42,00068d98
87,87,0,0ff9a0bbd98ac940b474f0f067d5655f,1,0004ce42,00068d98
88,88,0,0ff9a0bbd98ac940b474f0f067d5655f,1,0004ce42,00068d98
89,89,0,0ff9a0bbd98ac940b474f0f067d5655f,1,0004ce42,00068d98
90,90,0,0ff9a0bbd98ac940b474f0f067d5655f,1,0004ce42,00068d98
91,91,0,0ff9a0bbd98ac940b474f0f067d5655f,1,0004ce42,00068d98
92,92,0,0ff9a0bbd98ac940b474f0f067d5655f,1,0004ce42,00068d98
93,93,0,0ff9a0bbd98ac940b474f0f067d5655f,1,0004ce42,00068d98
94,94,0,0ff9a0bbd98ac940b474f0f067d5655f,1,0004ce42,00068d98
95,95,0,0ff9a0bbd98ac940b474f0f067d5655f,1,0004ce42,00068d98
96,96,0,0ff9a0bbd98ac940b474f0f067d5655f,1,0004ce42,00068d98
97,97,0,0ff9a0bbd98ac940b474f0f067d5655f,1,0004ce42,00068d98
98,98,0,0ff9a0bbd98ac940b474f0f067d5655f,1,0004ce42,00068d98
99,99,0,0ff9a0bbd98ac940b474f0f067d5655f,1,0004ce42,00068d98
100,100,0,0ff9a0bbd98ac940b474f0f067d5655f,1,0004ce42,00068d98
101,101,0,0ff9a0bbd98ac940b474f0f067d5655f,1,0004ce42,00068d98
102,102,0,0ff9a0bbd98ac940b474f0f067d5655f,1,0004ce42,00068d98
103,103,0,0ff9a0bbd98ac940b474f0f067d5655f,1,0004ce42,00068d98
104,104,0,0ff9a0bbd98ac940b474f0f067d5655f,1,0004ce42,00068d98
105,105,0,0ff9a0bbd98ac940b474f0f067d5655f,1,0004ce42,00068d98
106,106,0,0ff9a0bbd98ac940b474f0f067d5655f,1,0004ce42,00068d98
107,107,0,0ff9a0bbd98ac940b474f0f067d5655f,1,0004ce42,00068d98
108,108,0,0ff9a0bbd98ac940b474f0f067d5655f,1,0004ce42,00068d98
109,109,0,0ff9a0bbd98ac940b474f0f067d5655f,1,0004ce42,00068d98
110,110,0,0ff9a0bbd98ac940b474f0f067d5655f,1,0004ce42,00068d98
111,111,0,0ff9a0bbd98ac940b474f0f067d5655f,1,0004ce42,00068d98
112,112,0,0ff9a0bbd98ac940b474f0f067d5655f,1,0004ce42,00068d98
113,113,0,0ff9a0bbd98ac940b474f0f067d5655f,1,0004ce42,00068d98
114,114,0,0ff9a0bbd98ac940b474f0f067d5655f,1,0004ce42,00068d98
115,115,0,0ff9a0bbd98ac940b474f0f067d5655f,1,0004ce42,00068d98
